Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04141:Protein processing in endoplasmic reticulum	131	1.5901917941247876	8.240936765754598E-23	DNAJC5B, SEC31B, SEC31A, TUSC3, WFS1, UBQLN4, DNAJB12, UBQLN2, UBQLN1, PRKCSH, SSR1, ERO1LB, MAP3K5, DNAJB11, ATF6B, RPN1, DNAJC5, RPN2, DNAJC3, SAR1B, DDOST, SAR1A, MAP2K7, DNAJC1, CUL1, ERP29, UBE2J1, UBE2J2, MOGS, DDIT3, BCAP31, EIF2AK1, EIF2S1, TXNDC5, MAPK9, MAPK8, NFE2L2, AMFR, EIF2AK2, UGGT2, EIF2AK3, EIF2AK4, TRAF2, RAD23B, DERL2, SYVN1, DERL1, RAD23A, LMAN2, SKP1A, LMAN1, CALR, RBX1, PLAA, UBE2D3, DNAJA1, FBXO6, ERO1L, TRAM1, SEC61A1, SEC61A2, DNAJA2, P4HB, HERPUD1, NPLOC4, HSPBP1, ATF6, HYOU1, UBE2E3, ATF4, VCP, RNF5, SEC13, DNAJB2, DNAJB1, SEL1L, UBE2E1, HSP90AB1, SEC24B, UBE2D2B, SEC24A, PDIA3, UBE2G1, UBE2G2, DNAJC10, PDIA6, PDIA4, CANX, HSPH1, BAG1, BAG2, YOD1, SEC24C, SEC24D, SEC23A, HSP90AA1, MAN1A2, ERN1, SIL1, EDEM3, EDEM1, STUB1, SEC62, SEC63, NGLY1, STT3B, HSPA2, XBP1, MAN1A, HSPA5, HSPA8, MBTPS2, RRBP1, UBE4B, NSFL1C, PARK2, MAPK10, MARCH6, CAPN2, MAN1C1, CAPN1, PREB, HSP90B1, ATXN3, BAX, HSPA4L, SVIP, UBXN6, MBTPS1, SSR2, SSR3	3134	168	7720	1.9207919287689548	2.4063535356003426E-20	2.4063535356003426E-20	1.0966983015987244E-19
KEGG_PATHWAY	mmu04120:Ubiquitin mediated proteolysis	109	1.3231366836610827	3.5936673980922066E-18	BTRC, CDC16, CUL3, CUL2, CUL5, CUL7, WWP2, WWP1, KLHL9, CUL1, ANAPC1, ANAPC2, SOCS3, SOCS1, ANAPC4, SKP2, UBE2J1, UBE2J2, TRIM37, HUWE1, PIAS4, PIAS3, UBR5, SIAH1A, TRIM32, PIAS2, ANAPC7, PIAS1, FZR1, SYVN1, ANAPC13, UBA6, KEAP1, ANAPC10, ANAPC11, CDC34, SKP1A, UBE2QL1, RBX1, UBE2D3, FBXW7, FBXW8, RHOBTB2, RHOBTB1, RCHY1, TRAF6, UBE2L6, UBE2L3, CDC27, BRCA1, CBLC, UBE2E3, CBLB, RNF7, NEDD4, UBA2, UBA3, AIRE, SMURF2, SMURF1, UBE2E1, UBE2D2B, UBE2G1, UBE2G2, FANCL, MGRN1, UBE2A, DDB1, HERC4, UBE2F, HERC3, UBE2I, UBE2H, HERC2, HERC1, UBE2B, UBE2N, RFWD2, UBE2O, UBE2K, UBE2M, DDB2, MDM2, UBE2W, UBE2S, UBE2Z, UBE3B, XIAP, UBE3A, NHLRC1, UBE3C, STUB1, UBE2R2, PRPF19, MAP3K1, NEDD4L, FBXW11, TRIP12, VHL, CBL, UBE4B, BIRC6, PARK2, UBE2Q2, UBE2Q1, CUL4A, DET1, CUL4B, TCEB1	3134	142	7720	1.890847317472159	1.0493508802429244E-15	5.246754401214622E-16	4.782428313703423E-15
KEGG_PATHWAY	mmu04144:Endocytosis	177	2.1485797523670795	6.178835483206231E-15	CHMP4C, CHMP5, CAPZA2, CHMP6, CHMP7, CAPZA1, TGFB3, TGFB2, GBF1, WWP1, VPS4B, GIT2, VPS4A, SH3GL3, EGFR, PLD2, RET, KIF5B, KIF5A, KIF5C, PSD3, PSD4, PSD2, ARPC1A, ARPC1B, ACAP3, ARRB2, ACAP2, PDGFRA, PDCD6IP, BIN1, VPS26B, RAB10, VPS26A, SH3GL2, SH3GL1, CHMP2A, FGFR2, ARFGAP2, ARFGAP3, CAV1, FGFR4, E430025E21RIK, FGFR3, ERBB4, SNX6, SNX5, ERBB3, STAM2, ASAP2, SNX2, ASAP1, SNX1, ARF6, SNX4, ARF5, ASAP3, ARPC5, SNX3, ARFGEF2, ARFGEF1, CAPZB, RAB7, CHMP2B, ARPC3, ARPC2, TRAF6, IQSEC3, IQSEC1, IQSEC2, AP2M1, GIT1, PARD6A, PARD6B, RAB8A, TGFBR1, TGFBR2, MET, SMAD3, SMAD2, EPS15, CBLC, CBLB, ARF1, RABEP1, NEDD4, NTRK1, GRK6, HGS, SMURF2, GRK4, SMURF1, GRK5, CLTA, CLTB, RAB5B, LDLR, RAB5C, TSG101, H2-D1, VPS37A, VPS37B, PIP5K1C, EPS15L1, VPS37C, VPS37D, PIP5K1A, CLTC, CDC42, AP2B1, SMAP2, SMAP1, ZFYVE16, RHOA, SPG20, AGAP1, AGAP2, AGAP3, H2-K1, EPN3, RAB4A, PRKCI, A230046K03RIK, LDLRAP1, RAB11FIP4, RAB11FIP5, RAB11FIP2, CHMP1A, ZFYVE27, ARPC5L, IGF2R, SH3KBP1, RAB5A, MDM2, WASL, RAB11FIP1, EPN1, EPN2, H2-T3, VPS29, PRKCZ, PARD3, USP8, CYTH1, CYTH2, EEA1, CYTH3, IGF1R, HSPA2, SH3GLB1, WIPF2, RAB11B, RAB11A, VPS35, WIPF1, NEDD4L, EHD1, EHD2, VPS36, HSPA8, EHD4, STAMBP, H2-Q10, FLT1, CBL, RUFY1, AP2A2, TFRC, AP2A1, RAB35, RAB22A, SNX32, ARAP2, DNM1, F2R, RNF41, DNM2	3134	278	7720	1.5683636881177891	1.815436689867056E-12	6.051825707231728E-13	8.271161533457416E-12
KEGG_PATHWAY	mmu05200:Pathways in cancer	236	2.864773003156106	1.3155086740149128E-14	ADCY4, ADCY1, ADCY5, STAT5A, STAT5B, LPAR3, LPAR2, CTNNB1, GNG8, CUL2, RARA, GNG4, GNG5, BCR, ROCK1, BRAF, ROCK2, RXRB, PIK3CB, RXRA, SKP2, CTNNA1, MECOM, CTNNA3, VEGFB, JUP, VEGFC, JUN, VEGFA, MAPK3, PDGFRA, MAPK9, PIAS2, MAPK8, LAMC1, ITGA2B, GNAI2, GNAI1, ERBB2, NFKBIA, BCL2L1, KRAS, RAC2, RAC3, RAC1, DVL2, DVL3, BMP2, TCF7, MAP2K1, MAP2K2, TGFBR1, TGFBR2, CREBBP, SMAD4, SMAD3, SMAD2, DVL1, CBLC, LAMA1, CBLB, LAMA5, NTRK1, PPARD, FGF8, FGF9, PPARG, MITF, MLH1, NFKB1, NFKB2, GLI2, GLI3, PTEN, CCNE2, CCNE1, TGFA, FGF1, FGF4, CTBP1, ARHGEF1, CTBP2, ARHGEF12, RAD51, CCND1, GNAQ, GNB2, GNB1, WNT9B, WNT9A, BID, TFG, GNG11, GNG12, ZBTB16, SOS1, SOS2, FLT3L, FZD9, FZD8, FZD1, FZD2, MAPK10, FZD5, APPL1, STAT1, FZD4, FZD7, NRAS, RASSF5, ADCY9, RASSF1, GSK3B, PTCH1, TCEB1, PTCH2, WNT7A, GNA13, FGF18, PDGFB, PDGFA, GNA11, TGFB3, FOXO1, CXCL12, TGFB2, WNT4, CDKN2A, CDKN2B, SLC2A1, RALB, RALA, PRKACA, PRKACB, EGFR, RET, RELA, FADD, FGF22, CCDC6, HIF1A, EP300, WNT5A, FGFR2, TRAF2, FGFR1, FGFR3, GRB2, ITGB1, RBX1, ARNT, PTK2, ITGAV, FH1, TRAF6, AXIN2, RUNX1, TRAF5, TRAF4, TRAF3, AXIN1, EPAS1, MET, BRCA2, ITGA3, CDKN1A, HDAC2, CDKN1B, ITGA6, PLCG1, ABL1, E2F1, HSP90AB1, E2F2, E2F3, AKT1, CDC42, MAX, CASP3, PLCB3, CASP9, CASP8, RHOA, TPR, PLCB1, CSF2RA, CHUK, AKT2, PRKCA, HSP90AA1, PTGER3, RALBP1, CYCS, RUNX1T1, LEF1, CDK6, RB1, CDK4, DAPK3, CDK2, DAPK1, PRKCB, SMO, CRKL, NCOA4, MDM2, CKS1B, XIAP, EGLN3, EGLN2, CDH1, EGLN1, TCF7L2, TPM3, IGF1R, PIK3R5, PIK3R3, PIK3R1, APC, PIK3R2, CEBPA, MSH6, COL4A2, COL4A1, MSH3, FLT3, VHL, CBL, RAF1, BAD, RALGDS, HSP90B1, BAX, JAK1, CRK, F2R	3134	397	7720	1.464332847344233	3.825384453648439E-12	9.563461134121098E-13	1.7430501486614958E-11
KEGG_PATHWAY	mmu05220:Chronic myeloid leukemia	57	0.6919155134741442	1.1791851429003907E-10	E2F1, E2F2, E2F3, STAT5A, STAT5B, TGFB3, NFKB1, TGFB2, AKT1, CDKN2A, GAB2, SHC1, SHC3, CHUK, AKT2, CTBP1, BCR, CTBP2, BRAF, PIK3CB, RELA, CDK6, RB1, MECOM, CDK4, CCND1, CRKL, MAPK3, MDM2, GRB2, NFKBIA, BCL2L1, KRAS, SOS1, SOS2, PIK3R5, RUNX1, PIK3R3, PIK3R1, PIK3R2, MAP2K1, MAP2K2, TGFBR1, CBL, TGFBR2, SMAD4, RAF1, BAD, PTPN11, NRAS, CBLC, CDKN1A, CBLB, HDAC2, CDKN1B, ABL1, CRK	3134	72	7720	1.9501169963837481	3.443222007515345E-8	6.886444081644072E-9	1.569252283672995E-7
KEGG_PATHWAY	mmu04910:Insulin signaling pathway	94	1.1410536537994658	4.223509506459696E-10	PHKB, PRKAG1, PRKAG2, FOXO1, RHOQ, RPS6KB2, PDE3B, RPS6KB1, AKT1, PRKAR2B, EIF4EBP1, PDPK1, PRKAR2A, PRKACA, SHC1, PRKACB, SHC3, RAPGEF1, INSR, AKT2, IRS2, PTPRF, SOCS2, BRAF, SOCS3, INPPL1, PIK3CB, PHKG2, PRKAB2, SOCS1, PRKCI, SOCS4, PPP1CC, IRS1, PPP1CB, RPTOR, PPP1CA, CRKL, MAPK3, MAPK9, MAPK8, PHKA2, PRKCZ, EXOC7, GRB2, PHKA1, MKNK2, G6PC3, PPP1R3E, PPP1R3C, KRAS, PPP1R3B, SORBS1, SOS1, SOS2, PPP1R3F, FASN, GYS2, PIK3R5, PRKAA1, PRKAA2, TRIP10, PIK3R3, PIK3R1, PIK3R2, SREBF1, MAP2K1, MAP2K2, CBL, ACACA, RAF1, BAD, MAPK10, RPS6, PCK1, NRAS, CBLC, CBLB, EIF4E, GCK, TSC1, PYGL, GSK3B, TSC2, PRKAR1A, CALM3, RHEB, PTPN1, CRK, CALM2, LIPE, EIF4E2, CALM1, PYGB	3134	140	7720	1.6539338134743369	1.233264645961185E-7	2.0554411839235343E-8	5.620617637980274E-7
KEGG_PATHWAY	mmu05212:Pancreatic cancer	52	0.6312211701869386	4.5885965684654156E-10	E2F1, E2F2, E2F3, TGFB3, NFKB1, TGFB2, AKT1, CDC42, CDKN2A, CASP9, RALB, RALA, TGFA, CHUK, AKT2, EGFR, BRAF, RALBP1, PIK3CB, RELA, CDK6, RB1, CDK4, RAD51, CCND1, VEGFA, MAPK3, MAPK9, MAPK8, ERBB2, BCL2L1, KRAS, RAC2, RAC3, RAC1, PIK3R5, PIK3R3, PIK3R1, PIK3R2, MAP2K1, TGFBR1, TGFBR2, SMAD4, BRCA2, SMAD3, RAF1, SMAD2, MAPK10, BAD, STAT1, RALGDS, JAK1	3134	65	7720	1.9706445437141031	1.339869991623388E-7	1.914100100641747E-8	6.10647277188292E-7
KEGG_PATHWAY	mmu01100:Metabolic pathways	619	7.513959698956057	4.6293958658374907E-10	HGSNAT, GDA, CDIPT, LDHA, SC5D, BTD, EHHADH, PGD, PGAM1, SGMS1, OGDH, FAH, PGP, CYP7A1, PIK3C3, PDHA1, ACAA2, CYP1A1, UGCG, DPAGT1, LPCAT4, GLUL, NME2, NME3, NME1, ABAT, ADSL, GATC, PRODH, ADSS, HSD17B10, ACADSB, NAGLU, MGAT5B, AHCY, NAGS, HSD17B12, PPT2, PPT1, PPCDC, HADHA, ATP6V0B, HADHB, ATP6V0C, ARG1, ATP6V0E, PEMT, ALDH4A1, GCSH, DNMT3B, MGAT4B, ODC1, DNMT3A, MGAT4A, SPHK2, UPB1, ACER2, MAOB, ACACA, DLAT, GART, MLYCD, CYP2R1, CYP2J5, SEPHS2, SEPHS1, SYNJ1, PMVK, ASAH1, MTHFD1, ST6GALNAC6, ST6GALNAC3, ST6GALNAC4, XYLT2, P4HA2, P4HA1, P4HA3, SYNJ2, TWISTNB, MRI1, MINPP1, PIK3C2A, ACO1, PGAP1, PIK3C2B, PI4KA, NDUFA13, DGUOK, NDUFA10, NDUFA11, MTMR14, CHSY3, ALG10B, SQLE, RRM2, CHSY1, UROC1, DEGS1, ALPL, ALDH18A1, UGDH, GPAA1, POLA2, GPI1, DGKA, MTMR2, MTMR3, MTMR1, ACSL1, GALNT10, DGKE, PLA2G12A, HAAO, HSD17B4, ACSL4, PAPSS1, ACAA1A, GALNT11, PAPSS2, MTMR7, PDHX, ACSL3, ACAA1B, GALNT13, C1GALT1, HSD17B7, MTMR4, SHMT1, DGKQ, MAT2A, CS, AMACR, ACLY, NADK, DOLK, PCK1, SDHA, ACSM3, SDHC, AOX1, SDHD, DPM1, DGKZ, GAMT, DPM3, MAT2B, DPYD, ACSM5, TRIT1, IMPAD1, GNPDA1, CNDP2, HMGCR, NDUFAB1, MTHFD1L, FDFT1, ST3GAL1, ST3GAL3, UQCR10, ST3GAL2, ST3GAL5, ST3GAL4, B3GALNT1, RPN1, ENOPH1, CES1E, RPN2, HADH, DDOST, CES1C, HMGCL, DCTPP1, IDUA, NMNAT3, SPTLC1, PDXK, SPTLC2, CMAS, SLC33A1, PDXP, PNPLA2, TAT, RFK, LCLAT1, FLAD1, NMNAT1, ME1, EXTL3, ASS1, PAFAH2, GLUD1, PAH, EXTL2, G6PC3, GMPPB, POLE4, ISYNA1, CSAD, POLE3, DHODH, PCYT1A, FH1, B4GALT6, LIPT2, B4GALT7, B4GALT4, B4GALT1, B4GALT3, ATP5J2, B4GALT2, FDPS, MMAB, IDH3A, POLD3, NDUFV3, B3GAT3, NDUFV1, POLD1, NDUFV2, POLD2, SAT1, PTGES3, ACOX2, ACOX1, IMPA2, NDST3, PTGES2, NDST1, NDST2, ALG1, HEXB, PIP5K1C, ALG5, CAD, ALG6, PIP5K1A, UQCRQ, ALG9, ACOT4, GLB1, NDUFS7, NDUFS5, ALAS1, NDUFS4, TREH, PTDSS1, PCYT2, SUCLA2, IPMK, IMPDH1, IMPDH2, ACADM, MAN1A2, ACADS, CYCS, ATP6V1H, LPIN2, ACADL, PMM2, LPIN1, ATP6V1D, PMM1, MAN2A2, MAN2A1, ATP6V1A, UQCRH, CYP4A31, GAA, OAT, GPAM, UGP2, ALDH9A1, UQCRB, XYLB, CYP2U1, GALNT2, GALNT1, PGS1, GALNT4, ADH5, DCK, UPP2, ATP5G2, ATP5G3, ALDH3A2, ALDH1A2, ADH1, ATIC, GGPS1, PAFAH1B3, DMGDH, PAFAH1B1, INPP5E, PAFAH1B2, INPP5B, INPP5A, B4GALNT1, GBA, CHDH, EBP, MTHFD2L, GMDS, KL, POLR3GL, MAN1C1, OXSM, ADI1, CYP4A10, AMDHD1, RDH11, DBT, ITPA, PCX, RDH10, GCK, AKR1B3, SMPD1, UCKL1, IPPK, APIP, SMPD4, CBS, ALAD, B3GALT6, PPCS, EPT1, UXS1, HIBADH, GLDC, TPK1, GOT2, GOT1, TRAK2, AGPS, NT5C3, NT5C2, GPT2, AADAT, SGPL1, PLD2, CRLS1, SUCLG2, POLG, POLE, CYP26A1, GLCE, MGAT1, PGM2, MGAT2, MGAT3, PGLS, NNT, DLD, PGM1, ATP5C1, EXT1, EXT2, MDH2, MPST, ALDOA, COASY, GCNT4, CHKA, GCNT2, ENPP1, ALDOC, CHKB, ALDOB, ZNRD1, ACAT2, ACAT1, PPAT, TK2, QRSL1, THTPA, GALNS, IDH1, CDA, GAD1, ST6GAL1, UAP1, MOCS2, GUSB, MCAT, EPRS, TKT, UAP1L1, DHFR, GBE1, GLT28D2, PON2, COX6A1, IDI1, PLA2G4B, ALG12, ATP5D, TM7SF2, ATP5E, COX11, ATP5B, CDS2, MCCC2, AGPAT5, NT5M, MCEE, GSTZ1, ATP6V0D1, NT5E, ATP5H, AGPAT3, COX17, SARDH, AGPAT2, COX15, AGPAT1, DHCR24, ATP5J, POLR1D, POLR1A, POLR1C, CBR3, CDS1, GMPS, ATP6V1C1, ADO, CYP27A1, H6PD, ADK, TGDS, PLA2G6, UROD, MECR, REV3L, POLR2H, POLR2F, POLR2E, POLR2L, FUT8, POLR2J, POLR2I, UROS, AASS, ATP6V1G1, POLR2C, POLR2B, PFAS, POLR2A, STT3B, CBR2, MAN1A, FASN, RPIA, AGK, AGL, NSDHL, BCKDHA, POLR3G, POLR3F, POLR3H, TBXAS1, POLR3A, POLR3C, POLR3D, HYI, APRT, KHK, PYGL, GFPT1, ATP6V1E1, GFPT2, MBOAT2, ATP6V0A1, ATP5A1, PAICS, ATP6V0A2, PYGB, TUSC3, PI4K2B, ACSS2, COX5A, COX5B, ITPKA, DSE, PDHB, FAHD1, NANS, SCLY, CPOX, PHOSPHO2, PHOSPHO1, SPR, ITPK1, NANP, ALDH6A1, FECH, PIGYL, QDPR, MOGS, CHPT1, GNS, PYCR2, PI4K2A, KDSR, MVK, GULO, PCCB, PCCA, PRPS2, GCLC, SRM, MVD, GNE, KMO, ATP6V1B2, RRM2B, AGMAT, GCLM, CMPK1, GALM, CEPT1, MUT, GALC, PRPS1L3, GALE, B3GNT2, GAL3ST1, ADSSL1, ACY1, COX8A, GALT, EPHX2, AK2, AK4, CPS1, RIMKLB, PLCG1, GLS, MTR, ALDH2, DNMT1, AHCYL1, AHCYL2, FPGS, FPGT, GUK1, DCXR, DUT, NAMPT, HPRT, LSS, HLCS, UQCRFS1, GSS, PIGK, PIGL, CRYL1, PLCB3, PIGM, PIGF, HPSE, PIGH, MGLL, PLCB1, HPD, PFKL, ALDH5A1, PIGX, HMBS, PIGW, PIGV, COX4I1, PIGS, PFKM, NDUFC1, COQ7, PIGQ, PIGP, UGT1A1, COQ5, LAP3, PANK4, COQ2, PANK2, ALDH7A1, DGAT1, PANK3, DGAT2, PANK1, H2-KE6, CYP51, NDUFB4, NDUFB6, NDUFB7, NDUFB8, ADPGK, ECHS1, COMT, NDUFB2, GLS2, TYMP, MTHFR, CYP26B1, ETNK1, ETNK2, UCK2, PTS, GAPDH, BDH1, ENO1, CYP2C70, NDUFA4, DLST, NDUFA8, NDUFA6, CSGALNACT1, CSGALNACT2, LIPG, HIBCH, LIPC	3134	1278	7720	1.1931034551633706	1.3517834696052944E-7	1.6897294341511326E-8	6.160768561969121E-7
KEGG_PATHWAY	mmu04520:Adherens junction	56	0.6797766448167031	5.877058915685788E-10	WASF1, WASF2, IQGAP1, CTNNB1, VCL, CSNK2A2, MAP3K7, ACTG1, CDC42, CSNK2A1, RHOA, INSR, EGFR, PTPRJ, PTPRM, ACTN4, PTPRF, BAIAP2, ACTN1, LEF1, ACTN2, ACTN3, CTNNA1, CTNNA3, FARP2, EP300, MAPK3, WASL, FGFR1, PARD3, ERBB2, CDH1, TCF7L2, IGF1R, RAC2, SORBS1, RAC3, RAC1, SSX2IP, YES1, PTPRB, ACTB, TCF7, TGFBR1, NLK, CREBBP, MET, TGFBR2, CSNK2B, SMAD4, SMAD3, SMAD2, SNAI2, TJP1, FYN, PTPN1	3134	72	7720	1.915904417499823	1.7161010346100625E-7	1.9067790679727636E-8	7.821150171949398E-7
KEGG_PATHWAY	mmu04722:Neurotrophin signaling pathway	84	1.0196649672250546	6.220676791691064E-10	NFKB1, FOXO3, AKT1, MAGED1, CDC42, MAP3K5, BDNF, PDPK1, GAB1, RHOA, SHC1, SHC3, RAPGEF1, FRS2, MAP2K7, MAP2K5, AKT2, IRAK1, BRAF, PIK3CB, RELA, KIDINS220, IRS1, PRKCD, CRKL, PRDM4, JUN, PSEN2, MAPK3, RIPK2, MAPK9, MAPK8, MAPK7, TRP73, NGFR, NFKBIE, GRB2, CAMK2G, NFKBIB, NFKBIA, MAPKAPK2, KRAS, MAP3K3, MAP3K1, SOS1, SOS2, RAC1, CAMK2D, SH2B3, PIK3R5, CAMK2B, SH2B1, TRAF6, PIK3R3, ARHGDIA, PIK3R1, PIK3R2, NTF5, MAP2K1, MAP2K2, RAF1, MAPK11, BAD, MAPK10, YWHAE, PTPN11, RPS6KA5, NRAS, ATF4, RPS6KA3, RPS6KA1, PLCG1, MAPK13, NTRK1, GSK3B, BAX, MAPK14, CALM3, RAP1A, RAP1B, ABL1, CRK, CALM2, CALM1	3134	122	7720	1.6960465335244332	1.8164376092144607E-7	1.8164377557639E-8	8.278435381647853E-7
