OFFICIAL_GENE_SYMBOL	Name	Species
LAS1L	LAS1-like, ribosome biogenesis factor(las1l)	Danio rerio
SETD6	SET domain containing 6(setd6)	Danio rerio
TRIM24	tripartite motif containing 24(trim24)	Danio rerio
CDC73	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)(cdc73)	Danio rerio
EMSY	EMSY BRCA2-interacting transcriptional repressor(emsy)	Danio rerio
pelp1	proline, glutamate and leucine rich protein 1(pelp1)	Danio rerio
HDAC10	histone deacetylase 10(hdac10)	Danio rerio
PCGF1	polycomb group ring finger 1(pcgf1)	Danio rerio
PHC1	polyhomeotic homolog 1(phc1)	Danio rerio
NAP1L1	nucleosome assembly protein 1-like 1(nap1l1)	Danio rerio
SS18L2	synovial sarcoma translocation gene on chromosome 18-like 2(ss18l2)	Danio rerio
INO80C	INO80 complex subunit C(ino80c)	Danio rerio
CTCF	CCCTC-binding factor (zinc finger protein)(ctcf)	Danio rerio
ERCC6	excision repair cross-complementation group 6(ercc6)	Danio rerio
USP36	ubiquitin specific peptidase 36(usp36)	Danio rerio
CHD1	chromodomain helicase DNA binding protein 1(chd1)	Danio rerio
NFYC	nuclear transcription factor Y, gamma(nfyc)	Danio rerio
PPM1G	protein phosphatase, Mg2+/Mn2+ dependent, 1G(ppm1g)	Danio rerio
EED	embryonic ectoderm development(eed)	Danio rerio
SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2(smarcd2)	Danio rerio
CHD1L	chromodomain helicase DNA binding protein 1-like(chd1l)	Danio rerio
HCFC2	host cell factor C2(hcfc2)	Danio rerio
PRDM5	PR domain containing 5(prdm5)	Danio rerio
MST1	macrophage stimulating 1(mst1)	Danio rerio
CHUK	conserved helix-loop-helix ubiquitous kinase(chuk)	Danio rerio
SIRT2	sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)(sirt2)	Danio rerio
SIRT6	sirtuin 6(sirt6)	Danio rerio
CBX2	chromobox homolog 2 (Drosophila Pc class)(cbx2)	Danio rerio
HDAC1	histone deacetylase 1(hdac1)	Danio rerio
RAD54B	RAD54 homolog B (S. cerevisiae)(rad54b)	Danio rerio
FBL	fibrillarin(fbl)	Danio rerio
DDX21	DEAD (Asp-Glu-Ala-Asp) box helicase 21(ddx21)	Danio rerio
dpf1	D4, zinc and double PHD fingers family 1(dpf1)	Danio rerio
PHF13	PHD finger protein 13(phf13)	Danio rerio
TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf9)	Danio rerio
ASXL1	additional sex combs like transcriptional regulator 1(asxl1)	Danio rerio
ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A(anp32a)	Danio rerio
HDAC5	histone deacetylase 5(hdac5)	Danio rerio
ATM	ATM serine/threonine kinase(atm)	Danio rerio
ACTL6A	actin-like 6A(actl6a)	Danio rerio
CHAF1A	chromatin assembly factor 1, subunit A (p150)(chaf1a)	Danio rerio
INO80B	INO80 complex subunit B(ino80b)	Danio rerio
CHAF1B	chromatin assembly factor 1, subunit B(chaf1b)	Danio rerio
NEK6	NIMA-related kinase 6(nek6)	Danio rerio
spop	speckle-type POZ protein(spop)	Danio rerio
PCNA	proliferating cell nuclear antigen(pcna)	Danio rerio
USP7	ubiquitin specific peptidase 7 (herpes virus-associated)(usp7)	Danio rerio
